Civilian noninstitutional population,Civilian labor force,Participation rate,Employed,Employment-population ratio,Unemployed,Unemployment rate,Sex,Race,Year
"24,175","10,971",45.4,"10,098",41.8,873,8,,,2015
"61,712","35,322",57.2,"33,402",54.1,"1,920",5.4,,,2015
"56,263","37,481",66.6,"35,785",63.6,"1,695",4.5,,,2015
"35,326","22,706",64.3,"21,573",61.1,"1,134",5,,,2015
"20,937","14,774",70.6,"14,213",67.9,562,3.8,,,2015
"70,061","52,133",74.4,"50,792",72.5,"1,341",2.6,,,2015
"44,086","32,684",74.1,"31,772",72.1,912,2.8,,,2015
"25,975","19,449",74.9,"19,020",73.2,429,2.2,,,2015
"12,137","7,081",58.3,"6,573",54.2,507,7.2,Men,,2015
"30,388","20,416",67.2,"19,302",63.5,"1,114",5.5,Men,,2015
"25,664","18,772",73.1,"17,953",70,820,4.4,Men,,2015
"16,644","11,862",71.3,"11,293",67.9,569,4.8,Men,,2015
"9,020","6,911",76.6,"6,660",73.8,251,3.6,Men,,2015
"33,471","26,429",79,"25,776",77,654,2.5,Men,,2015
"21,048","16,767",79.7,"16,323",77.6,444,2.6,Men,,2015
"12,423","9,662",77.8,"9,453",76.1,210,2.2,Men,,2015
"12,038","3,891",32.3,"3,525",29.3,366,9.4,Woman,,2015
"31,325","14,906",47.6,"14,100",45,806,5.4,Woman,,2015
"30,599","18,708",61.1,"17,832",58.3,876,4.7,Woman,,2015
"18,682","10,845",58,"10,280",55,565,5.2,Woman,,2015
"11,918","7,864",66,"7,553",63.4,311,4,Woman,,2015
"36,590","25,704",70.2,"25,016",68.4,687,2.7,Woman,,2015
"23,038","15,917",69.1,"15,449",67.1,468,2.9,Woman,,2015
"13,552","9,786",72.2,"9,567",70.6,219,2.2,Woman,,2015
"18,672","8,723",46.7,"8,128",43.5,595,6.8,,White,2015
"49,012","27,790",56.7,"26,508",54.1,"1,282",4.6,,White,2015
"44,779","29,492",65.9,"28,320",63.2,"1,171",4,,White,2015
"27,796","17,588",63.3,"16,820",60.5,768,4.4,,White,2015
"16,983","11,904",70.1,"11,501",67.7,404,3.4,,White,2015
"55,911","41,361",74,"40,380",72.2,981,2.4,,White,2015
"35,289","26,072",73.9,"25,395",72,677,2.6,,White,2015
"20,622","15,289",74.1,"14,984",72.7,304,2,,White,2015
"3,271","1,228",37.5,"1,033",31.6,196,15.9,,Black or African American,2015
"8,566","5,035",58.8,"4,549",53.1,486,9.7,,Black or African American,2015
"7,715","5,416",70.2,"5,017",65,399,7.4,,Black or African American,2015
"5,135","3,526",68.7,"3,242",63.1,284,8,,Black or African American,2015
"2,580","1,891",73.3,"1,775",68.8,115,6.1,,Black or African American,2015
"5,917","4,600",77.7,"4,418",74.7,182,4,,Black or African American,2015
"3,801","2,967",78,"2,850",75,116,3.9,,Black or African American,2015
"2,116","1,633",77.2,"1,567",74.1,66,4,,Black or African American,2015
"1,217",497,40.8,470,38.6,27,5.4,,Asian,2015
"2,385","1,402",58.8,"1,344",56.4,57,4.1,,Asian,2015
"1,919","1,308",68.1,"1,265",65.9,43,3.3,,Asian,2015
"1,165",763,65.5,737,63.2,26,3.4,,Asian,2015
754,545,72.3,528,70,17,3.1,,Asian,2015
"6,773","4,993",73.7,"4,855",71.7,138,2.8,,Asian,2015
"4,013","2,849",71,"2,759",68.7,90,3.2,,Asian,2015
"2,760","2,144",77.7,"2,096",75.9,48,2.3,,Asian,2015
"10,094","5,986",59.3,"5,592",55.4,394,6.6,,Hispanic or Latino ethnicity,2015
"9,261","6,444",69.6,"6,064",65.5,379,5.9,,Hispanic or Latino ethnicity,2015
"6,774","5,112",75.5,"4,858",71.7,254,5,,Hispanic or Latino ethnicity,2015
"4,401","3,295",74.9,"3,119",70.9,175,5.3,,Hispanic or Latino ethnicity,2015
"2,373","1,817",76.6,"1,739",73.3,78,4.3,,Hispanic or Latino ethnicity,2015
"5,086","4,076",80.1,"3,936",77.4,140,3.4,,Hispanic or Latino ethnicity,2015
"3,494","2,798",80.1,"2,694",77.1,104,3.7,,Hispanic or Latino ethnicity,2015
"1,592","1,278",80.3,"1,242",78,36,2.8,,Hispanic or Latino ethnicity,2015
"23,368","10,679",45.7,"9,884",42.3,795,7.4,,,2016
"62,022","35,649",57.5,"33,801",54.5,"1,847",5.2,,,2016
"57,185","37,934",66.3,"36,386",63.6,"1,549",4.1,,,2016
"35,489","22,667",63.9,"21,668",61.1,"1,000",4.4,,,2016
"21,696","15,267",70.4,"14,718",67.8,549,3.6,,,2016
"72,528","53,723",74.1,"52,374",72.2,"1,349",2.5,,,2016
"45,327","33,384",73.7,"32,475",71.6,909,2.7,,,2016
"27,201","20,339",74.8,"19,899",73.2,440,2.2,,,2016
"11,713","6,803",58.1,"6,354",54.2,448,6.6,Men,,2016
"30,692","20,760",67.6,"19,691",64.2,"1,069",5.1,Men,,2016
"26,072","18,993",72.8,"18,239",70,755,4,Men,,2016
"16,678","11,803",70.8,"11,311",67.8,491,4.2,Men,,2016
"9,394","7,191",76.5,"6,928",73.7,263,3.7,Men,,2016
"34,648","27,249",78.6,"26,588",76.7,661,2.4,Men,,2016
"21,606","17,127",79.3,"16,670",77.2,456,2.7,Men,,2016
"13,042","10,123",77.6,"9,918",76,205,2,Men,,2016
"11,655","3,876",33.3,"3,530",30.3,346,8.9,Woman,,2016
"31,329","14,888",47.5,"14,110",45,778,5.2,Woman,,2016
"31,113","18,941",60.9,"18,147",58.3,794,4.2,Woman,,2016
"18,811","10,865",57.8,"10,357",55.1,508,4.7,Woman,,2016
"12,302","8,076",65.6,"7,790",63.3,286,3.5,Woman,,2016
"37,880","26,474",69.9,"25,786",68.1,688,2.6,Woman,,2016
"23,721","16,258",68.5,"15,805",66.6,453,2.8,Woman,,2016
"14,159","10,216",72.1,"9,981",70.5,235,2.3,Woman,,2016
"17,853","8,429",47.2,"7,879",44.1,549,6.5,,White,2016
"49,010","27,874",56.9,"26,623",54.3,"1,251",4.5,,White,2016
"45,364","29,745",65.6,"28,668",63.2,"1,078",3.6,,White,2016
"27,787","17,462",62.8,"16,786",60.4,675,3.9,,White,2016
"17,577","12,284",69.9,"11,881",67.6,402,3.3,,White,2016
"57,700","42,439",73.6,"41,454",71.8,985,2.3,,White,2016
"36,253","26,639",73.5,"25,967",71.6,672,2.5,,White,2016
"21,447","15,801",73.7,"15,487",72.2,314,2,,White,2016
"3,292","1,244",37.8,"1,069",32.5,175,14.1,,Black or African American,2016
"8,763","5,185",59.2,"4,737",54.1,448,8.6,,Black or African American,2016
"7,825","5,431",69.4,"5,099",65.2,332,6.1,,Black or African American,2016
"5,209","3,511",67.4,"3,282",63,230,6.5,,Black or African American,2016
"2,615","1,920",73.4,"1,817",69.5,103,5.3,,Black or African American,2016
"6,161","4,788",77.7,"4,612",74.9,176,3.7,,Black or African American,2016
"3,950","3,062",77.5,"2,942",74.5,120,3.9,,Black or African American,2016
"2,211","1,727",78.1,"1,670",75.5,57,3.3,,Black or African American,2016
"1,282",520,40.6,500,39,20,3.9,,Asian,2016
"2,428","1,459",60.1,"1,400",57.7,59,4,,Asian,2016
"2,066","1,414",68.5,"1,359",65.8,55,3.9,,Asian,2016
"1,227",821,66.9,788,64.3,33,4,,Asian,2016
839,594,70.7,571,68,23,3.8,,Asian,2016
"7,147","5,272",73.8,"5,127",71.7,145,2.8,,Asian,2016
"4,125","2,888",70,"2,798",67.8,90,3.1,,Asian,2016
"3,021","2,384",78.9,"2,328",77.1,55,2.3,,Asian,2016
"9,855","5,815",59,"5,472",55.5,344,5.9,,Hispanic or Latino ethnicity,2016
"9,791","6,743",68.9,"6,398",65.3,346,5.1,,Hispanic or Latino ethnicity,2016
"7,052","5,277",74.8,"5,053",71.7,224,4.3,,Hispanic or Latino ethnicity,2016
"4,569","3,376",73.9,"3,227",70.6,149,4.4,,Hispanic or Latino ethnicity,2016
"2,482","1,902",76.6,"1,826",73.6,76,4,,Hispanic or Latino ethnicity,2016
"5,510","4,398",79.8,"4,263",77.4,135,3.1,,Hispanic or Latino ethnicity,2016
"3,765","2,981",79.2,"2,884",76.6,96,3.2,,Hispanic or Latino ethnicity,2016
"1,745","1,417",81.2,"1,379",79,38,2.7,,Hispanic or Latino ethnicity,2016
"22,638","10,343",45.7,"9,668",42.7,674,6.5,,,2017
"62,192","35,874",57.7,"34,210",55,"1,664",4.6,,,2017
"57,261","37,696",65.8,"36,282",63.4,"1,414",3.8,,,2017
"35,211","22,339",63.4,"21,440",60.9,899,4,,,2017
"22,050","15,357",69.6,"14,842",67.3,515,3.4,,,2017
"74,838","55,246",73.8,"53,971",72.1,"1,275",2.3,,,2017
"47,056","34,480",73.3,"33,620",71.4,860,2.5,,,2017
"27,782","20,766",74.7,"20,351",73.3,415,2,,,2017
"11,220","6,529",58.2,"6,129",54.6,401,6.1,Men,,2017
"30,948","20,944",67.7,"20,013",64.7,931,4.4,Men,,2017
"26,310","19,003",72.2,"18,324",69.6,679,3.6,Men,,2017
"16,813","11,811",70.2,"11,355",67.5,456,3.9,Men,,2017
"9,497","7,193",75.7,"6,969",73.4,223,3.1,Men,,2017
"35,579","27,781",78.1,"27,172",76.4,608,2.2,Men,,2017
"22,288","17,545",78.7,"17,137",76.9,408,2.3,Men,,2017
"13,291","10,236",77,"10,035",75.5,200,2,Men,,2017
"11,418","3,813",33.4,"3,540",31,273,7.2,Woman,,2017
"31,244","14,930",47.8,"14,197",45.4,733,4.9,Woman,,2017
"30,951","18,693",60.4,"17,958",58,735,3.9,Woman,,2017
"18,399","10,528",57.2,"10,085",54.8,443,4.2,Woman,,2017
"12,553","8,165",65,"7,873",62.7,292,3.6,Woman,,2017
"39,259","27,465",70,"26,799",68.3,667,2.4,Woman,,2017
"24,768","16,935",68.4,"16,483",66.5,452,2.7,Woman,,2017
"14,491","10,531",72.7,"10,316",71.2,215,2,Woman,,2017
"17,229","8,151",47.3,"7,690",44.6,461,5.7,,White,2017
"48,904","27,837",56.9,"26,710",54.6,1127,4.1,,White,2017
"45,284","29,366",64.8,"28,388",62.7,978,3.3,,White,2017
"27,518","17,127",62.2,"16,515",60,612,3.6,,White,2017
"17,766","12,239",68.9,"11,872",66.8,366,3,,White,2017
"59,485","43,563",73.2,"42,662",71.7,902,2.1,,White,2017
"37,765","27,607",73.1,"26,986",71.5,621,2.2,,White,2017
"21,719","15,957",73.5,"15,676",72.2,281,1.8,,White,2017
"3,218","1,186",36.9,"1,038",32.3,148,12.5,,Black or African American,2017
"8,863","5,302",59.8,"4,889",55.2,412,7.8,,Black or African American,2017
"7,939","5,550",69.9,"5,230",65.9,321,5.8,,Black or African American,2017
"5,212","3,550",68.1,"3,335",64,215,6.1,,Black or African American,2017
"2,726","2,000",73.4,"1,894",69.5,106,5.3,,Black or African American,2017
"6,478","5,055",78,"4,874",75.2,182,3.6,,Black or African American,2017
"4,104","3,179",77.5,"3,050",74.3,129,4,,Black or African American,2017
"2,375","1,876",79,"1,823",76.8,53,2.8,,Black or African American,2017
"1,237",503,40.7,481,38.9,22,4.4,,Asian,2017
"2,491","1,515",60.8,"1,474",59.2,41,2.7,,Asian,2017
"2,076","1,420",68.4,"1,375",66.2,45,3.2,,Asian,2017
"1,192",788,66.1,764,64.1,24,3,,Asian,2017
884,632,71.5,611,69.1,21,3.4,,Asian,2017
"7,327","5,409",73.8,"5,261",71.8,148,2.7,,Asian,2017
"4,139","2,881",69.6,"2,800",67.7,81,2.8,,Asian,2017
"3,188","2,528",79.3,"2,460",77.2,68,2.7,,Asian,2017
"9,728","5,755",59.2,"5,462",56.1,293,5.1,,Hispanic or Latino ethnicity,2017
"10,012","6,967",69.6,"6,642",66.3,325,4.7,,Hispanic or Latino ethnicity,2017
"7,220","5,406",74.9,"5,196",72,210,3.9,,Hispanic or Latino ethnicity,2017
"4,566","3,393",74.3,"3,258",71.4,134,4,,Hispanic or Latino ethnicity,2017
"2,654","2,013",75.8,"1,937",73,76,3.8,,Hispanic or Latino ethnicity,2017
"5,880","4,661",79.3,"4,525",77,136,2.9,,Hispanic or Latino ethnicity,2017
