,,,Total,Total,Total,Not a high school graduate,Not a high school graduate,Not a high school graduate,High school graduate,High school graduate,High school graduate,Some college/associate's degree,Some college/associate's degree,Some college/associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Advanced degree,Advanced degree,Advanced degree
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error
Total,Both Sexes,2019,58544.0,167215.0,329.0,29278.0,11413.0,552.0,39371.0,42598.0,329.0,45091.0,46885.0,411.0,73163.0,42153.0,719.0,106766.0,24164.0,1440.0
Total,Both Sexes,2018,55619.0,165179.0,296.0,27037.0,12058.0,481.0,38936.0,42882.0,376.0,43053.0,46887.0,416.0,71155.0,40231.0,676.0,99919.0,23118.0,1186.0
Total,Both Sexes,2017,53536.0,163871.0,218.0,26832.0,12240.0,383.0,38145.0,42816.0,320.0,41507.0,47382.0,291.0,67763.0,39153.0,462.0,98369.0,22277.0,933.0
Total,Both Sexes,2016,51893.0,162218.0,217.0,27800.0,12281.0,559.0,36702.0,42897.0,296.0,40201.0,48128.0,277.0,67267.0,37272.0,508.0,95203.0,21639.0,909.0
Total,Both Sexes,2015,49994.0,161074.0,209.0,25315.0,13159.0,422.0,35615.0,42404.0,271.0,38943.0,47961.0,261.0,65482.0,36348.0,516.0,92525.0,21199.0,898.0
Total,Both Sexes,2014,47653.0,158000.0,196.0,25236.0,13197.0,494.0,34099.0,42529.0,240.0,37945.0,47023.0,283.0,62466.0,35305.0,452.0,88056.0,19944.0,855.0
Total,Both Sexes,2013,46187.0,156031.0,219.0,23755.0,12961.0,482.0,32881.0,42433.0,248.0,36428.0,46952.0,282.0,59661.0,34422.0,495.0,90304.0,19261.0,1074.0
Total,Both Sexes,2012,45598.0,155148.0,182.0,21622.0,13030.0,303.0,32630.0,41915.0,239.0,35943.0,47469.0,234.0,60159.0,33948.0,428.0,89253.0,18783.0,882.0
Total,Both Sexes,2011,44729.0,152711.0,176.0,21107.0,13594.0,247.0,32493.0,42129.0,254.0,35585.0,45999.0,218.0,59415.0,33188.0,395.0,87981.0,17800.0,899.0
Total,Both Sexes,2010,42956.0,151747.0,157.0,20935.0,13540.0,340.0,30999.0,42650.0,201.0,34469.0,45604.0,189.0,57619.0,32371.0,398.0,83930.0,17582.0,747.0
Total,Both Sexes,2009,42469.0,152707.0,165.0,20241.0,14083.0,281.0,30627.0,44396.0,188.0,34773.0,45239.0,216.0,56665.0,32127.0,405.0,85818.0,16860.0,873.0
Total,Both Sexes,2008,42588.0,155989.0,161.0,21023.0,15217.0,303.0,31283.0,45182.0,200.0,34808.0,46663.0,202.0,58613.0,31890.0,444.0,83144.0,17035.0,785.0
Total,Both Sexes,2007,42064.0,155738.0,155.0,21484.0,15330.0,269.0,31286.0,45393.0,197.0,35138.0,46577.0,209.0,57181.0,31832.0,404.0,80977.0,16604.0,783.0
Total,Both Sexes,2006,41412.0,154438.0,170.0,20873.0,16652.0,223.0,31071.0,45936.0,235.0,34650.0,45073.0,227.0,56788.0,31006.0,460.0,82320.0,15769.0,889.0
Total,Both Sexes,2005,39579.0,152215.0,162.0,19915.0,16317.0,184.0,29448.0,45652.0,185.0,33496.0,45434.0,221.0,54689.0,29658.0,457.0,79946.0,15152.0,905.0
Total,Both Sexes,2004,37899.0,150096.0,152.0,19169.0,16373.0,247.0,28645.0,45545.0,190.0,32012.0,44381.0,187.0,51554.0,29050.0,388.0,78093.0,14746.0,928.0
Total,Both Sexes,2003,37046.0,148660.0,144.0,18734.0,16282.0,183.0,27915.0,45064.0,159.0,31498.0,44048.0,193.0,51206.0,28672.0,420.0,74602.0,14592.0,803.0
Total,Both Sexes,2002,36308.0,148492.0,148.0,18826.0,16931.0,265.0,27280.0,45407.0,177.0,31046.0,43776.0,206.0,51194.0,28257.0,435.0,72824.0,14119.0,785.0
Total,Both Sexes,2001,35805.0,147829.0,155.0,18793.0,17293.0,308.0,26795.0,45641.0,186.0,30782.0,43214.0,203.0,50623.0,27980.0,452.0,72869.0,13700.0,880.0
Total,Both Sexes,2000,34514.0,147966.0,148.0,17738.0,17425.0,269.0,25692.0,45977.0,142.0,29939.0,43874.0,194.0,49595.0,27488.0,451.0,71194.0,13200.0,924.0
Total,Both Sexes,1999,32359.0,146212.0,179.0,16127.0,17224.0,290.0,24551.0,46531.0,181.0,28469.0,43019.0,257.0,45644.0,26490.0,516.0,67756.0,12949.0,1120.0
Total,Both Sexes,1998,30928.0,142053.0,183.0,16053.0,16742.0,306.0,23594.0,45987.0,203.0,27566.0,41412.0,302.0,43782.0,25818.0,533.0,63473.0,12095.0,1018.0
Total,Both Sexes,1997,29514.0,140367.0,183.0,16124.0,16962.0,346.0,22895.0,45976.0,206.0,26235.0,40802.0,289.0,40478.0,25035.0,489.0,63229.0,11591.0,1162.0
Total,Both Sexes,1996,28106.0,138703.0,176.0,15011.0,17075.0,286.0,22154.0,45908.0,209.0,25181.0,40410.0,279.0,38112.0,24028.0,436.0,61317.0,11281.0,1204.0
Total,Both Sexes,1995,26792.0,136221.0,164.0,14013.0,16990.0,201.0,21431.0,44546.0,225.0,23862.0,40142.0,245.0,36980.0,23285.0,463.0,56667.0,11258.0,490.0
Total,Both Sexes,1994,25852.0,135096.0,153.0,13697.0,16479.0,288.0,20248.0,44614.0,170.0,22226.0,40135.0,193.0,37224.0,22712.0,491.0,56105.0,11155.0,961.0
Total,Both Sexes,1993,24674.0,133119.0,148.0,12820.0,16575.0,237.0,19422.0,44779.0,162.0,21539.0,39429.0,173.0,35121.0,21815.0,425.0,55789.0,10521.0,1140.0
Total,Both Sexes,1992,23036.0,131891.0,102.0,12685.0,17055.0,155.0,18637.0,45600.0,115.0,20680.0,37730.0,152.0,32525.0,21080.0,301.0,48548.0,10426.0,647.0
Total,Both Sexes,1991,22332.0,130371.0,12613.0,17553.0,160.0,18261.0,46508.0,109.0,20551.0,35732.0,154.0,31323.0,20475.0,288.0,46038.0,10103.0,606.0,
Total,Both Sexes,1990,21793.0,130080.0,12582.0,18698.0,115.0,17820.0,51977.0,20694.0,28993.0,165.0,31112.0,18128.0,300.0,41458.0,12285.0,488.0,,
Total,Both Sexes,1989,21414.0,129094.0,12242.0,19137.0,112.0,17594.0,51846.0,100.0,20255.0,28078.0,161.0,30736.0,17767.0,304.0,41019.0,12265.0,506.0,
Total,Both Sexes,1988,20060.0,127564.0,11889.0,19635.0,118.0,16750.0,51297.0,19066.0,27217.0,171.0,28344.0,17308.0,286.0,37724.0,12109.0,458.0,,
Total,Both Sexes,1987,19016.0,124874.0,11824.0,19748.0,133.0,15939.0,50815.0,18054.0,26404.0,156.0,26919.0,16497.0,289.0,35968.0,11411.0,447.0,,
Total,Both Sexes,1986,18149.0,122757.0,11203.0,19665.0,149.0,15120.0,50104.0,17073.0,26113.0,135.0,26511.0,15788.0,251.0,34787.0,11087.0,393.0,,
Total,Both Sexes,1985,17181.0,120651.0,10726.0,19692.0,133.0,14457.0,49674.0,16349.0,25402.0,127.0,24877.0,15373.0,238.0,32909.0,10510.0,367.0,,
Total,Both Sexes,1984,16083.0,118183.0,10384.0,20206.0,130.0,13893.0,48452.0,14936.0,24463.0,107.0,23072.0,14653.0,191.0,30192.0,10410.0,281.0,,
Total,Both Sexes,1983,15137.0,115095.0,9853.0,20020.0,13044.0,47560.0,14245.0,23208.0,21532.0,13929.0,28333.0,10377.0,,,,,,
Total,Both Sexes,1982,14351.0,113451.0,9387.0,20789.0,101.0,12560.0,46584.0,13503.0,22602.0,105.0,20272.0,13425.0,181.0,26915.0,10051.0,272.0,,
Total,Both Sexes,1981,13624.0,113301.0,9357.0,22296.0,110.0,12109.0,47332.0,13176.0,21759.0,101.0,19006.0,12579.0,173.0,25281.0,9336.0,266.0,,
Total,Both Sexes,1980,12665.0,111919.0,8845.0,23028.0,11314.0,46795.0,12409.0,21384.0,18075.0,12175.0,171.0,23308.0,8535.0,254.0,,,,
Total,Both Sexes,1979,11795.0,110826.0,8420.0,23783.0,10624.0,45497.0,11377.0,21174.0,16514.0,11751.0,163.0,21874.0,8621.0,251.0,,,,
Total,Both Sexes,1978,10812.0,106436.0,7759.0,23787.0,9834.0,43510.0,10357.0,20121.0,15291.0,11001.0,159.0,20173.0,8017.0,248.0,,,,
Total,Both Sexes,1977,9887.0,103119.0,7066.0,24854.0,9013.0,41696.0,9607.0,18905.0,14207.0,10357.0,136.0,19077.0,7309.0,222.0,,,,
Total,Both Sexes,1976,9180.0,100510.0,6720.0,25035.0,8393.0,40570.0,8813.0,17786.0,13033.0,10132.0,120.0,17911.0,6985.0,218.0,,,,
Total,Both Sexes,1975,8552.0,97881.0,6198.0,24916.0,7843.0,39827.0,8388.0,16917.0,12332.0,9764.0,121.0,16725.0,6457.0,206.0,,,,
Total,Male,2019,67784.0,87767.0,475.0,33824.0,7073.0,707.0,45188.0,24980.0,435.0,54044.0,23341.0,629.0,87398.0,20828.0,1086.0,129882.0,11543.0,2226.0
Total,Male,2018,65058.0,86913.0,466.0,31846.0,7520.0,720.0,45259.0,24992.0,531.0,52460.0,23286.0,710.0,84803.0,20083.0,1088.0,123215.0,11029.0,2049.0
Total,Male,2017,62662.0,86872.0,343.0,31688.0,7597.0,565.0,44466.0,25137.0,459.0,50012.0,23606.0,474.0,81607.0,19657.0,760.0,119590.0,10871.0,1585.0
Total,Male,2016,61232.0,85718.0,348.0,32463.0,7695.0,782.0,43534.0,24908.0,472.0,48123.0,23891.0,442.0,82089.0,18627.0,850.0,116617.0,10595.0,1540.0
Total,Male,2015,58944.0,85263.0,331.0,30230.0,8210.0,627.0,41942.0,24647.0,410.0,46154.0,23578.0,394.0,79927.0,18287.0,867.0,113279.0,10539.0,1481.0
Total,Male,2014,56701.0,83402.0,317.0,29618.0,8256.0,689.0,39874.0,24468.0,335.0,46137.0,23057.0,478.0,76169.0,17725.0,775.0,110645.0,9895.0,1474.0
Total,Male,2013,54658.0,82576.0,358.0,27586.0,8286.0,692.0,37763.0,24327.0,329.0,43841.0,23112.0,459.0,72124.0,17203.0,877.0,115282.0,9647.0,1869.0
Total,Male,2012,54118.0,81979.0,294.0,24955.0,8183.0,402.0,38454.0,23783.0,379.0,43593.0,23267.0,408.0,72546.0,17175.0,698.0,110501.0,9570.0,1448.0
Total,Male,2011,52273.0,80502.0,285.0,25155.0,8359.0,375.0,38679.0,23800.0,409.0,43239.0,22469.0,384.0,71162.0,16769.0,606.0,109063.0,9102.0,1502.0
Total,Male,2010,50855.0,79949.0,258.0,24560.0,8428.0,525.0,36281.0,24076.0,322.0,41214.0,21978.0,314.0,69764.0,16486.0,651.0,103488.0,8980.0,1264.0
Total,Male,2009,50186.0,80799.0,265.0,23036.0,8851.0,395.0,35468.0,25143.0,283.0,41773.0,21895.0,360.0,69479.0,16226.0,687.0,105636.0,8683.0,1429.0
Total,Male,2008,51148.0,82727.0,264.0,24831.0,9596.0,460.0,36753.0,25290.0,308.0,42221.0,22830.0,341.0,72868.0,16100.0,745.0,103980.0,8909.0,1315.0
Total,Male,2007,50110.0,82932.0,249.0,24985.0,9780.0,387.0,36839.0,25396.0,299.0,41709.0,22916.0,300.0,70898.0,16109.0,686.0,100550.0,8730.0,1324.0
Total,Male,2006,49647.0,82310.0,275.0,24072.0,10541.0,285.0,37356.0,25489.0,388.0,41521.0,21952.0,357.0,69818.0,15769.0,757.0,101441.0,8556.0,1436.0
