Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table A-3.  Mean Earnings of Workers 18 Years and Over, by Educational Attainment, Race, Hispanic Origin, and Sex:  1975 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mean annual earnings [dollars].  Total number with earnings in thousands.  Standard error of the mean.  Noninstitutionalized population.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Race, sex, and earnings year",,,Total,,,Not a high school graduate,,,High school graduate,,,Some college/associate's degree,,,Bachelor's degree,,,Advanced degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"58,544","167,215",329,"29,278","11,413",552,"39,371","42,598",329,"45,091","46,885",411,"73,163","42,153",719,"106,766","24,164","1,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"55,619","165,179",296,"27,037","12,058",481,"38,936","42,882",376,"43,053","46,887",416,"71,155","40,231",676,"99,919","23,118","1,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"53,536","163,871",218,"26,832","12,240",383,"38,145","42,816",320,"41,507","47,382",291,"67,763","39,153",462,"98,369","22,277",933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"51,893","162,218",217,"27,800","12,281",559,"36,702","42,897",296,"40,201","48,128",277,"67,267","37,272",508,"95,203","21,639",909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"49,994","161,074",209,"25,315","13,159",422,"35,615","42,404",271,"38,943","47,961",261,"65,482","36,348",516,"92,525","21,199",898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"47,653","158,000",196,"25,236","13,197",494,"34,099","42,529",240,"37,945","47,023",283,"62,466","35,305",452,"88,056","19,944",855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"46,187","156,031",219,"23,755","12,961",482,"32,881","42,433",248,"36,428","46,952",282,"59,661","34,422",495,"90,304","19,261","1,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"45,598","155,148",182,"21,622","13,030",303,"32,630","41,915",239,"35,943","47,469",234,"60,159","33,948",428,"89,253","18,783",882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"44,729","152,711",176,"21,107","13,594",247,"32,493","42,129",254,"35,585","45,999",218,"59,415","33,188",395,"87,981","17,800",899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"42,956","151,747",157,"20,935","13,540",340,"30,999","42,650",201,"34,469","45,604",189,"57,619","32,371",398,"83,930","17,582",747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"42,469","152,707",165,"20,241","14,083",281,"30,627","44,396",188,"34,773","45,239",216,"56,665","32,127",405,"85,818","16,860",873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"42,588","155,989",161,"21,023","15,217",303,"31,283","45,182",200,"34,808","46,663",202,"58,613","31,890",444,"83,144","17,035",785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"42,064","155,738",155,"21,484","15,330",269,"31,286","45,393",197,"35,138","46,577",209,"57,181","31,832",404,"80,977","16,604",783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"41,412","154,438",170,"20,873","16,652",223,"31,071","45,936",235,"34,650","45,073",227,"56,788","31,006",460,"82,320","15,769",889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"39,579","152,215",162,"19,915","16,317",184,"29,448","45,652",185,"33,496","45,434",221,"54,689","29,658",457,"79,946","15,152",905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"37,899","150,096",152,"19,169","16,373",247,"28,645","45,545",190,"32,012","44,381",187,"51,554","29,050",388,"78,093","14,746",928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"37,046","148,660",144,"18,734","16,282",183,"27,915","45,064",159,"31,498","44,048",193,"51,206","28,672",420,"74,602","14,592",803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"36,308","148,492",148,"18,826","16,931",265,"27,280","45,407",177,"31,046","43,776",206,"51,194","28,257",435,"72,824","14,119",785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"35,805","147,829",155,"18,793","17,293",308,"26,795","45,641",186,"30,782","43,214",203,"50,623","27,980",452,"72,869","13,700",880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"34,514","147,966",148,"17,738","17,425",269,"25,692","45,977",142,"29,939","43,874",194,"49,595","27,488",451,"71,194","13,200",924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"32,359","146,212",179,"16,127","17,224",290,"24,551","46,531",181,"28,469","43,019",257,"45,644","26,490",516,"67,756","12,949","1,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"30,928","142,053",183,"16,053","16,742",306,"23,594","45,987",203,"27,566","41,412",302,"43,782","25,818",533,"63,473","12,095","1,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
