,,2018,2018,2018,2018,2018,2018,2018,2018
,,Less than a high school diploma,"High school graduates, no college",Some college or associate degree,Some college or associate degree,Some college or associate degree,Bachelor's degree and higher,Bachelor's degree and higher,Bachelor's degree and higher
,,Less than a high school diploma,"High school graduates, no college",Total,"Some college, no degree",Associate degree,Total,Bachelor's degree only,Advanced degree
TOTAL,Civilian noninstitutional population,22250.0,62592.0,57405.0,34880.0,22525.0,77540.0,48798.0,28742.0
TOTAL,Civilian labor force,10278.0,36010.0,37585.0,21937.0,15649.0,57217.0,35824.0,21393.0
TOTAL,Participation rate,46.2,57.5,65.5,62.9,69.5,73.8,73.4,74.4
TOTAL,Employed,9701.0,34550.0,36338.0,21128.0,15209.0,55995.0,35026.0,20970.0
TOTAL,Employment-population ratio,43.6,55.2,63.3,60.6,67.5,72.2,71.8,73.0
TOTAL,Unemployed,576.0,1461.0,1248.0,808.0,440.0,1222.0,799.0,423.0
TOTAL,Unemployment rate,5.6,4.1,3.3,3.7,2.8,2.1,2.2,2.0
Men,Civilian noninstitutional population,11110.0,31216.0,26508.0,16679.0,9829.0,36711.0,23098.0,13613.0
Men,Civilian labor force,6537.0,21145.0,19050.0,11667.0,7383.0,28670.0,18206.0,10464.0
Men,Participation rate,58.8,67.7,71.9,70.0,75.1,78.1,78.8,76.9
Men,Employed,6201.0,20294.0,18460.0,11279.0,7182.0,28066.0,17803.0,10263.0
Men,Employment-population ratio,55.8,65.0,69.6,67.6,73.1,76.5,77.1,75.4
Men,Unemployed,336.0,850.0,590.0,388.0,202.0,604.0,403.0,201.0
Men,Unemployment rate,5.1,4.0,3.1,3.3,2.7,2.1,2.2,1.9
Women,Civilian noninstitutional population,11140.0,31375.0,30897.0,18201.0,12696.0,40829.0,25700.0,15129.0
Women,Civilian labor force,3741.0,14866.0,18535.0,10269.0,8266.0,28548.0,17619.0,10929.0
Women,Participation rate,33.6,47.4,60.0,56.4,65.1,69.9,68.6,72.2
Women,Employed,3501.0,14256.0,17877.0,9850.0,8028.0,27929.0,17223.0,10706.0
Women,Employment-population ratio,31.4,45.4,57.9,54.1,63.2,68.4,67.0,70.8
Women,Unemployed,240.0,610.0,658.0,420.0,238.0,619.0,396.0,223.0
Women,Unemployment rate,6.4,4.1,3.5,4.1,2.9,2.2,2.2,2.0
White,Civilian noninstitutional population,16900.0,49050.0,45277.0,27256.0,18021.0,61121.0,38744.0,22377.0
White,Civilian labor force,8126.0,27859.0,29201.0,16818.0,12383.0,44669.0,28302.0,16367.0
White,Participation rate,48.1,56.8,64.5,61.7,68.7,73.1,73.0,73.1
White,Employed,7713.0,26870.0,28348.0,16281.0,12067.0,43772.0,27708.0,16064.0
White,Employment-population ratio,45.6,54.8,62.6,59.7,67.0,71.6,71.5,71.8
White,Unemployed,413.0,989.0,853.0,537.0,316.0,897.0,594.0,303.0
White,Unemployment rate,5.1,3.5,2.9,3.2,2.5,2.0,2.1,1.9
Black or African American,Civilian noninstitutional population,3139.0,8927.0,8012.0,5174.0,2838.0,7011.0,4522.0,2490.0
Black or African American,Civilian labor force,1126.0,5343.0,5558.0,3479.0,2079.0,5451.0,3504.0,1947.0
Black or African American,Participation rate,35.9,59.8,69.4,67.2,73.2,77.7,77.5,78.2
Black or African American,Employed,1009.0,4986.0,5271.0,3276.0,1994.0,5291.0,3395.0,1895.0
Black or African American,Employment-population ratio,32.1,55.8,65.8,63.3,70.3,75.5,75.1,76.1
Black or African American,Unemployed,117.0,357.0,287.0,203.0,84.0,161.0,109.0,52.0
Black or African American,Unemployment rate,10.4,6.7,5.2,5.8,4.1,2.9,3.1,2.7
Asian,Civilian noninstitutional population,1218.0,2549.0,2085.0,1171.0,914.0,7814.0,4455.0,3359.0
Asian,Civilian labor force,493.0,1504.0,1412.0,770.0,641.0,5827.0,3176.0,2651.0
Asian,Participation rate,40.5,59.0,67.7,65.8,70.2,74.6,71.3,78.9
Asian,Employed,479.0,1468.0,1373.0,752.0,621.0,5687.0,3099.0,2588.0
Asian,Employment-population ratio,39.3,57.6,65.9,64.2,68.0,72.8,69.6,77.1
Asian,Unemployed,14.0,36.0,39.0,19.0,20.0,139.0,77.0,62.0
Asian,Unemployment rate,2.9,2.4,2.8,2.5,3.1,2.4,2.4,2.3
Hispanic or Latino ethnicity,Civilian noninstitutional population,9737.0,10637.0,7480.0,4734.0,2745.0,6198.0,4335.0,1863.0
Hispanic or Latino ethnicity,Civilian labor force,5753.0,7439.0,5554.0,3469.0,2085.0,4911.0,3417.0,1494.0
Hispanic or Latino ethnicity,Participation rate,59.1,69.9,74.2,73.3,75.9,79.2,78.8,80.2
Hispanic or Latino ethnicity,Employed,5488.0,7145.0,5354.0,3341.0,2012.0,4770.0,3312.0,1459.0
Hispanic or Latino ethnicity,Employment-population ratio,56.4,67.2,71.6,70.6,73.3,77.0,76.4,78.3
Hispanic or Latino ethnicity,Unemployed,265.0,293.0,200.0,128.0,72.0,141.0,105.0,36.0
Hispanic or Latino ethnicity,Unemployment rate,4.6,3.9,3.6,3.7,3.5,2.9,3.1,2.4
