,,Number (Thousands),Percent Distribution,Percent Distribution,Percent Distribution,Percent Distribution,Percent Distribution,Percent Distribution,Percent Distribution,Percent Distribution,Percent Distribution,Percent Distribution,Median Income,Median Income,Mean Income,Mean Income
,,Number (Thousands),Total,Under $15000,$15000 to $24999,$25000 to $34999,$35000 to $49999,$50000 to $74999,$75000 to $99999,$100000 to $149999,$150000 to $199999,$200000 and over,Estimate,Margin of error,Estimate,Margin of error
All Races,2021,131202.0,100.0,9.3,8.1,7.8,10.9,16.2,11.9,15.9,8.3,11.6,70784.0,605.0,102316.0,1029.0
All Races,2020,129244.0,100.0,8.8,8.2,8.1,11.0,16.2,12.3,15.8,8.4,11.3,71186.0,921.0,102020.0,1098.0
All Races,2019,128451.0,100.0,8.5,7.5,8.0,11.3,16.1,12.1,16.3,8.7,11.5,72808.0,959.0,103949.0,1104.0
All Races,2018,128579.0,100.0,9.4,8.3,8.4,11.5,16.4,12.8,15.6,7.9,9.8,68168.0,746.0,97129.0,969.0
All Races,2017,127669.0,100.0,9.4,8.6,8.6,11.8,15.8,12.6,15.2,7.7,10.1,67571.0,585.0,96868.0,1037.0
All Races,2017,127586.0,100.0,9.5,8.8,8.5,11.8,15.6,12.8,15.3,7.9,9.7,67832.0,609.0,95296.0,945.0
All Races,2016,126224.0,100.0,9.8,8.5,8.6,11.8,16.5,12.2,15.6,7.8,9.2,66657.0,810.0,93871.0,871.0
All Races,2015,125819.0,100.0,9.8,9.3,9.3,11.7,16.2,12.1,15.7,7.6,8.4,64631.0,604.0,90645.0,758.0
All Races,2014,124587.0,100.0,10.7,9.7,9.5,12.0,16.6,11.9,14.7,7.1,7.8,61468.0,739.0,86763.0,840.0
All Races,2013,123931.0,100.0,10.5,9.9,9.2,11.8,16.5,12.4,14.5,7.1,8.0,62425.0,1253.0,87599.0,1272.0
All Races,2013,122952.0,100.0,10.4,10.1,9.5,12.1,16.9,12.9,14.2,6.9,6.9,60507.0,529.0,84624.0,956.0
All Races,2012,122459.0,100.0,10.4,10.3,9.2,12.9,16.6,12.5,14.5,6.8,6.9,60313.0,406.0,84262.0,819.0
All Races,2011,121084.0,100.0,10.6,9.8,9.2,13.3,17.0,12.2,14.4,6.8,6.8,60428.0,498.0,84118.0,731.0
All Races,2010,119927.0,100.0,10.6,10.1,9.1,12.8,16.6,12.3,14.9,6.9,6.8,61364.0,666.0,83924.0,737.0
All Races,2009,117538.0,100.0,9.3,9.4,9.6,12.5,17.1,12.8,15.3,7.0,7.1,63011.0,444.0,86048.0,506.0
All Races,2008,117181.0,100.0,9.3,9.3,9.5,12.4,16.8,12.9,15.6,7.2,7.0,63455.0,284.0,86314.0,502.0
All Races,2007,116783.0,100.0,8.9,9.4,8.9,12.0,17.1,12.8,15.9,7.5,7.4,65801.0,302.0,88562.0,509.0
All Races,2006,116011.0,100.0,9.0,8.9,8.8,12.8,17.2,12.6,15.8,7.2,7.7,64930.0,459.0,89674.0,569.0
All Races,2005,114384.0,100.0,9.3,9.0,9.4,12.1,17.1,13.0,15.8,7.0,7.4,64427.0,355.0,88094.0,547.0
All Races,2004,113343.0,100.0,9.5,9.1,9.1,12.3,17.4,12.7,15.8,7.0,7.1,63745.0,464.0,86940.0,539.0
