,Median Household Income by State: Selected years 1990 through 2019,Median Household Income by State: Selected years 1990 through 2019,Median Household Income by State: Selected years 1990 through 2019,Median Household Income by State: Selected years 1990 through 2019,Median Household Income by State: Selected years 1990 through 2019,Median Household Income by State: Selected years 1990 through 2019,Median Household Income by State: Selected years 1990 through 2019,Median Household Income by State: Selected years 1990 through 2019,Median Household Income by State: Selected years 1990 through 2019,Median Household Income by State: Selected years 1990 through 2019
,1990,2000,2005,2010,2014,2015,2016,2017,2018,2019
United States,60000,64600,60700,58800,58000,60200,61400,62900,63100,65700
Alabama ,47100,52500,48400,47600,46300,48300,49300,50200,50800,51700
Alaska,82700,79400,73800,75900,77400,79200,81400,76300,75700,75500
Arizona ,55000,62400,58100,55000,54100,55600,57100,59000,60300,62100
Arkansas,42200,49500,45900,45000,44600,45300,47200,47800,47900,49000
California,71500,73100,70400,67800,66900,69600,72200,74900,76600,80400
Colorado ,60200,72700,66500,63500,66300,69000,70000,72100,73300,77100
Connecticut ,83300,83000,80000,75200,75700,77000,78200,77400,77700,78800
Delaware ,69600,72900,68900,65600,64600,66100,65800,65600,66000,70200
District of Columbia,61300,61800,62000,71600,77400,81600,80400,85900,86700,92300
Florida ,54900,59800,55700,52200,51300,53300,54200,54900,56500,59200
Georgia ,57900,65300,59800,54600,53300,55300,57100,58600,59800,62000
Hawaii ,77500,76700,76300,74100,75200,79300,79400,81100,81700,83100
Idaho ,50400,57800,54400,51100,51700,52100,55200,54500,56600,61000
Illinois ,64400,71700,66000,62200,62100,64300,64900,65700,66200,69200
Indiana ,57500,64000,57700,52400,53400,54500,55700,56500,56800,57600
Iowa,52400,60800,57200,56400,58100,59100,59900,61100,61000,61700
Kansas,54500,62500,56300,56700,56800,58200,58500,58800,59300,62100
Kentucky ,45000,51800,49000,47100,46400,48800,49700,50500,51200,52300
Louisiana ,43800,50100,48200,49900,48200,49300,48100,48100,48800,51100
Maine,55600,57300,56200,53800,53500,55600,56500,58700,56600,58900
Maryland ,78600,81400,80800,80900,80000,81800,84100,84200,84800,86700
Massachusetts,73800,77700,75000,72900,74800,76200,80200,80700,81300,85800
Michigan,61900,68800,60400,53400,53900,55100,55900,57300,57700,59600
Minnesota,61700,72500,68300,65200,66500,68500,69900,71300,71600,74600
Mississippi,40200,48200,43200,43300,42900,43800,44500,45400,45500,45800
Missouri ,52600,58400,55100,52100,52300,54200,55100,56000,55500,57400
Montana,45900,50800,51600,50100,50100,53400,53300,55700,56300,57200
Nebraska ,51900,60400,57500,56900,57000,59300,60600,62500,60600,63200
Nevada,61900,68600,64500,59900,55600,56600,58800,60500,59700,63300
New Hampshire,72500,76100,74500,71700,71900,75900,75600,76500,76300,77900
New Jersey,81700,84900,80900,79500,77700,77900,81100,83500,83200,85800
New Mexico,48100,52500,49200,49500,48400,49000,49800,48800,48000,51900
New York,65800,66800,64900,63600,63600,65700,67000,67700,69100,72100
North Carolina,53200,60300,53400,50900,50300,51600,53900,55000,54800,57300
North Dakota ,46300,53300,53800,57200,63800,65300,64600,64500,65000,64600
Ohio ,57300,63000,57100,53000,53300,55100,55800,56300,57100,58600
Oklahoma ,47100,51400,48600,49400,51400,52400,52400,52200,52900,54400
Oregon,54400,63000,56400,54700,55200,58400,61300,62800,64600,67100
Pennsylvania,58000,61700,58400,57900,57500,60100,60600,61700,62000,63500
Rhode Island ,64200,64800,67500,61400,59300,62700,64600,66600,65500,71200
South Carolina,52400,57100,51600,49400,48900,51000,52700,52700,53300,56200
South Dakota,44900,54300,52900,53900,55100,57200,58000,58900,57300,59500
Tennessee,49500,56000,51000,48700,48000,51000,51700,53500,53300,56100
Texas ,53900,61500,55300,57100,57300,60100,60300,61700,61700,64000
Utah ,58800,70400,62900,64300,65900,67900,70300,71300,72700,75800
Vermont ,59500,62900,60000,58100,58600,61500,61400,60000,61900,63000
Virginia ,66500,71800,71200,71300,70200,71500,72600,74600,73900,76500
Washington,62300,70500,64600,65400,66300,69200,71500,74000,75400,78700
West Virginia,41500,45700,43900,44900,44400,45300,46200,45300,44900,48900
Wisconsin ,58800,67400,61800,57600,56900,60000,60500,61900,61900,64200
Wyoming ,54100,58300,60600,62900,61700,65000,63800,63000,62700,65000
