,,less than a high school diploma,"high school graduates, no college","some college, no degree",associate degree,bachelor's degree,advanced degree,,
Total,Civilian noninstitutional population,"23,368","62,022","35,489","21,696","45,327","27,201",,
,Civilian labor force,"10,679","35,649","22,667","15,267","33,384","20,339",,
,Participation rate,45.7,57.5,63.9,70.4,73.7,74.8,,
,Employed,"9,884","33,801","21,668","14,718","32,475","19,899",,
,Employment-population ratio,42.3,54.5,61.1,67.8,71.6,73.2,,
,Unemployed,795,"1,847","1,000",549,909,440,,
,Unemployment rate,7.4,5.2,4.4,3.6,2.7,2.2,,
Men,Civilian noninstitutional population,"11,713","30,692","16,678","9,394","21,606","13,042",,
,Civilian labor force,"6,803","20,760","11,803","7,191","17,127","10,123",,
,Participation rate,58.1,67.6,70.8,76.5,79.3,77.6,,
,Employed,"6,354","19,691","11,311","6,928","16,670","9,918",,
,Employment-population ratio,54.2,64.2,67.8,73.7,77.2,76,,
,Unemployed,448,"1,069",491,263,456,205,,
,Unemployment rate,6.6,5.1,4.2,3.7,2.7,2,,
Women,Civilian noninstitutional population,"11,655","31,329","18,811","12,302","23,721","14,159",,
,Civilian labor force,"3,876","14,888","10,865","8,076","16,258","10,216",,
,Participation rate,33.3,47.5,57.8,65.6,68.5,72.1,,
,Employed,"3,530","14,110","10,357","7,790","15,805","9,981",,
,Employment-population ratio,30.3,45,55.1,63.3,66.6,70.5,,
,Unemployed,346,778,508,286,453,235,,
,Unemployment rate,8.9,5.2,4.7,3.5,2.8,2.3,,
White,Civilian noninstitutional population,"17,853","49,010","27,787","17,577","36,253","21,447",,
,Civilian labor force,"8,429","27,874","17,462","12,284","26,639","15,801",,
,Participation rate,47.2,56.9,62.8,69.9,73.5,73.7,,
,Employed,"7,879","26,623","16,786","11,881","25,967","15,487",,
,Employment-population ratio,44.1,54.3,60.4,67.6,71.6,72.2,,
,Unemployed,549,"1,251",675,402,672,314,,
,Unemployment rate,6.5,4.5,3.9,3.3,2.5,2,,
Black or African American,Civilian noninstitutional population,"3,292","8,763","5,209","2,615","3,950","2,211",,
,Civilian labor force,"1,244","5,185","3,511","1,920","3,062","1,727",,
,Participation rate,37.8,59.2,67.4,73.4,77.5,78.1,,
,Employed,"1,069","4,737","3,282","1,817","2,942","1,670",,
,Employment-population ratio,32.5,54.1,63,69.5,74.5,75.5,,
,Unemployed,175,448,230,103,120,57,,
,Unemployment rate,14.1,8.6,6.5,5.3,3.9,3.3,,
Asian,Civilian noninstitutional population,"1,282","2,428","1,227",839,"4,125","3,021",,
,Civilian labor force,520,"1,459",821,594,"2,888","2,384",,
,Participation rate,40.6,60.1,66.9,70.7,70,78.9,,
,Employed,500,"1,400",788,571,"2,798","2,328",,
,Employment-population ratio,39,57.7,64.3,68,67.8,77.1,,
,Unemployed,20,59,33,23,90,55,,
,Unemployment rate,3.9,4,4,3.8,3.1,2.3,,
Hispanic or Latino,Civilian noninstitutional population,"9,855","9,791","4,569","2,482","3,765","1,745",,
,Civilian labor force,"5,815","6,743","3,376","1,902","2,981","1,417",,
,Participation rate,59,68.9,73.9,76.6,79.2,81.2,,
,Employed,"5,472","6,398","3,227","1,826","2,884","1,379",,
,Employment-population ratio,55.5,65.3,70.6,73.6,76.6,79,,
,Unemployed,344,346,149,76,96,38,,
,Unemployment rate,5.9,5.1,4.4,4,3.2,2.7,,
